VALUE,COUNT,ISO3V10,UNSDCODE,COUNTRYENG
1,286,ABW,533,Aruba
2,896759,AFG,4,Afghanistan
3,1495946,AGO,24,Angola
4,164,AIA,660,Anguilla
5,44213,ALB,8,Albania
6,735,AND,20,Andorra
7,1206,ANT,530,Netherland Antilles
8,101701,ARE,784,United Arab Emirates
9,3979060,ARG,32,Argentina
10,43321,ARM,51,Armenia
11,359,ASM,16,American Samoa
12,693,ATG,28,Antigua and Barbuda
13,10046279,AUS,36,Australia
14,143585,AUT,40,Austria
15,131130,AZE,31,Azerbaijan
16,29468,BDI,108,Burundi
17,56191,BEL,56,Belgium
18,136939,BEN,204,Benin
19,328615,BFA,854,Burkina Faso
20,177084,BGD,50,Bangladesh
21,176689,BGR,100,Bulgaria
22,987,BHR,48,Bahrain
23,21440,BHS,44,Bahamas
24,83225,BIH,70,Bosnia-Herzegovina
25,405038,BLR,112,Belarus
26,27839,BLZ,84,Belize
27,174,BMU,60,Bermuda
28,1315365,BOL,68,Bolivia
29,10171642,BRA,76,Brazil
30,589,BRB,52,Barbados
31,6888,BRN,96,Brunei Darussalam
32,50163,BTN,64,Bhutan
33,728959,BWA,72,Botswana
34,730396,CAF,140,Central African Republic
35,23794312,CAN,124,Canada
36,66764,CHE,756,Switzerland
37,1135672,CHL,152,Chile
38,13590554,CHN,156,China
39,377290,CIV,384,Ivory Coast
40,545726,CMR,120,Cameroon
41,2701961,COD,180,"Congo, Democratic Republic"
42,399283,COG,178,Congo
43,1124,COK,184,Cook Islands
44,1335376,COL,170,Colombia
45,2254,COM,174,Comoros
46,5631,CPV,132,Cape Verde
47,61613,CRI,188,Costa Rica
48,145271,CUB,192,Cuba
49,476,CYM,136,Cayman Islands
50,13687,CYP,196,Cyprus
51,141618,CZE,203,Czech Republic
52,662898,DEU,276,Germany
53,25990,DJI,262,Djibouti
54,1012,DMA,212,Commonwealth of Dominica
55,94190,DNK,208,Denmark
56,60245,DOM,214,Dominican Republic
57,3074112,DZA,12,Algeria
58,301323,ECU,218,Ecuador
59,1278814,EGY,818,Egypt
60,148999,ERI,232,Eritrea
61,775612,ESP,724,Spain
62,99533,EST,233,Estonia
63,1327740,ETH,231,Ethiopia
64,881584,FIN,246,Finland
65,25597,FJI,242,Fiji
66,26375,FLK,238,Falkland Islands
67,931466,FRA,250,France
68,4377,FRO,234,Faeroe Islands
69,1200,FSM,583,Federated State of Micronesia
70,309424,GAB,266,Gabon
71,504925,GBR,826,United Kingdom
72,109163,GEO,268,Georgia
73,276,GGY,1001,Guernsey
74,275693,GHA,288,Ghana
75,15,GIB,292,Gibraltar
76,291857,GIN,324,Guinea
77,2441,GLP,312,Guadeloupe
78,13222,GMB,270,Gambia
79,42065,GNB,624,Guinea-Bissau
80,31832,GNQ,226,Equatorial Guinea
81,207836,GRC,300,Greece
82,463,GRD,308,Grenada
83,1965760,GRL,304,Greenland
84,131560,GTM,320,Guatemala
85,97690,GUF,254,French Guiana
86,765,GUM,316,Guam
87,246501,GUY,328,Guyana
88,1760,HKG,344,Hong Kong
89,136246,HND,340,Honduras
90,96103,HRV,191,Croatia
91,34632,HTI,332,Haiti
92,157850,HUN,348,Hungary
93,2270551,IDN,360,Indonesia
94,1268,IMN,1003,Isle of Man
95,4134187,IND,356,India
96,139385,IRL,372,Ireland
97,2240326,IRN,364,Iran
98,598687,IRQ,368,Iraq
99,259467,ISL,352,Iceland
100,30243,ISR,376,Israel
101,481097,ITA,380,Italy
102,14085,JAM,388,Jamaica
103,269,JEY,1005,Jersey
104,122386,JOR,400,Jordan
105,563280,JPN,392,Japan
106,4630410,KAZ,1007,Kazakhstan
107,678697,KEN,404,Kenya
108,290736,KGZ,417,Kyrgyz Republic
109,214948,KHM,116,Cambodia
110,2566,KIR,296,Kiribati
111,417,KNA,659,Saint Kitts and Nevis
112,149000,KOR,410,Korea
113,23559,KWT,414,Kuwait
114,283033,LAO,418,Lao People's Democratic Republic
115,14662,LBN,422,Lebanon
116,113213,LBR,430,Liberia
117,2122198,LBY,434,Libyan Arab Jamahiriya
118,823,LCA,662,Saint Lucia
119,275,LIE,438,Liechtenstein
120,79050,LKA,144,Sri Lanka
121,40957,LSO,426,Lesotho
122,132883,LTU,440,Lithuania
123,4659,LUX,442,Luxembourg
124,136734,LVA,428,Latvia
125,44,MAC,446,Macao
126,902750,MAR,504,Morocco (includes Western Sahara)
127,7,MCO,492,Monaco
128,58316,MDA,498,Republic of Moldova
129,737789,MDG,450,Madagascar
130,2333,MDV,462,Maldives
131,2502658,MEX,484,Mexico
132,1661,MHL,584,Marshall Islands
133,38610,MKD,807,Macedonia
134,1531009,MLI,466,Mali
135,571,MLT,470,Malta
136,845321,MMR,104,Myanmar
137,2639625,MNG,496,Mongolia
138,810,MNP,580,Northern Mariana Islands
139,954074,MOZ,508,Mozambique
140,1297993,MRT,478,Mauritania
141,157,MSR,500,Montserrat
142,1554,MTQ,474,Martinique
143,2713,MUS,480,Mauritius
144,114634,MWI,454,Malawi
145,391315,MYS,458,Malaysia
146,647,MYT,1009,Mayotte
147,1041793,NAM,516,Namibia
148,25291,NCL,540,New Caledonia
149,1449179,NER,562,Niger
150,86,NFK,574,Norfolk Island
151,1070802,NGA,566,Nigeria
152,144586,NIC,558,Nicaragua
153,372,NIU,570,Niue
154,67708,NLD,528,Netherlands
155,896612,NOR,578,Norway
156,186369,NPL,524,Nepal
157,35,NRU,520,Nauru
158,423274,NZL,554,New Zealand
159,392300,OMN,512,Oman
160,1063930,PAK,586,Pakistan
161,91583,PAN,591,Panama
162,103,PCN,612,Pitcairn
163,1524539,PER,604,Peru
164,370250,PHL,608,Philippines
165,786,PLW,585,Palau
166,556089,PNG,598,Papua New Guinea
167,590518,POL,616,Poland
168,11560,PRI,630,Puerto Rico
169,188708,PRK,408,"Korea, Dem. People's Rep. of"
170,140148,PRT,620,Portugal
171,503966,PRY,600,Paraguay
172,8296,PSE,1011,Occupied Palestinian Territory
173,7608,PYF,258,French Polynesia
174,15068,QAT,634,Qatar
175,3330,REU,638,Reunion
176,396341,ROU,642,Romania
177,41302139,RUS,643,Russia
178,28439,RWA,646,Rwanda
179,2504874,SAU,682,Saudi Arabia
180,164269,SCG,891,Serbia and Montenegro
181,3015524,SDN,736,Sudan
182,237328,SEN,686,Senegal
183,841,SGP,702,Singapore
184,595,SHN,654,Saint Helena
185,189205,SJM,1015,Svalbard
186,38767,SLB,90,Solomon Islands
187,86217,SLE,694,Sierra Leone
188,24752,SLV,222,El Salvador
189,100,SMR,674,San Marino
190,748678,SOM,706,Somalia
191,515,SPM,666,Saint Pierre and Miquelon
192,1310,STP,678,Sao Tome and Principe
193,167755,SUR,740,Suriname
194,86208,SVK,703,Slovakia
195,34020,SVN,705,Slovenia
196,1116526,SWE,752,Sweden
197,22647,SWZ,748,Swaziland
198,313,SYC,690,Seychelles
199,264440,SYR,760,Syrian Arab Republic
200,1120,TCA,796,Turks and Caicos Islands
201,1536536,TCD,148,Chad
202,67490,TGO,768,Togo
203,624972,THA,764,Thailand
204,199376,TJK,762,Tajikistan
205,116,TKL,772,Tokelau
206,731722,TKM,795,Turkmenistan
207,18120,TLS,626,East Timor
208,1415,TON,776,Tonga
209,6554,TTO,780,Trinidad and Tobago
210,219440,TUN,788,Tunisia
211,1163530,TUR,792,Turkey
212,129,TUV,798,Tuvalu
213,47071,TWN,1013,Taiwan
214,1049412,TZA,834,United Rep. of Tanzania
215,244128,UGA,800,Uganda
216,1051487,UKR,804,Ukraine
217,244058,URY,858,Uruguay
218,15866212,USA,840,United States of America
219,648555,UZB,860,Uzbekistan
220,1,VAT,336,Holy See
221,704,VCT,670,Saint Vincent
222,1073145,VEN,862,Venezuela
223,383,VGB,92,British Virgin Islands
224,642,VIR,850,United States Virgin Islands
225,405095,VNM,704,Viet Nam
226,16850,VUT,548,Vanuatu
227,290,WLF,876,Wallis and Futuna
228,3737,WSM,882,Western Samoa
229,506966,YEM,887,Yemen
230,1629134,ZAF,710,South Africa
231,890953,ZMB,894,Zambia
232,480000,ZWE,716,Zimbabwe
